tweet_text,created_at,n_words,party
@butchparnell @realDonaldTrump Enough already! Time to back our President to help do what is best for the people.#takeyourmeds,2017-02-17 11:53:12,8,Rep
"@realDonaldTrump Gross display of hubris &amp; bully tactics, combined with ignorance, lack of humility &amp; terrifying access to nuclear weapons.",2017-02-17 11:53:14,15,Rep
@realDonaldTrump Still waiting for presidential behavior and released tax returns Broken promises!,2017-02-17 11:53:18,9,Rep
@realDonaldTrump the media is it's not all fake you're a hundred percent liar though,2017-02-17 11:53:27,7,Rep
@JonStewartHBO @PeterofArabia @realDonaldTrump I read this tweet and thought it was brilliant! Pleasantly surprised to see the author!,2017-02-17 11:53:31,8,Rep
"@trumpanov @Reince @HillaryClinton 
You mean the tax returns that no-one gives a fuck about? https://t.co/I4uzvhUJBb",2016-08-30 14:41:43,6,Dem
@PearceMelodies @realDonaldTrump the whole world has been laughing at him but this is not longer funny. He is a real danger to the world..,2017-02-17 08:47:51,9,Rep
@Everso1Clarence @alexgibneyfilm @realDonaldTrump I like how you assume we are democrats. LMAO. Not!,2017-02-17 08:49:40,5,Rep
"Just feel we're so lucky to pay nothing for medicines in #Wales &amp; relatively little in #England.
But what a way to… https://t.co/w4aBKTfU3e",2017-02-17 08:49:44,9,Nothing
@realDonaldTrump the only thing trump gets from price are stock tips. You just sealed your fate for not having a replacement for ACA,2017-02-17 11:52:05,11,Rep
@realDonaldTrump Keep fight 4 the truth &amp; 4 Us &amp; WE will call R Reps &amp; tell them back U or They will B OUT,2017-02-17 11:52:20,16,Rep
@JoeWeberIII @BrandonTXNeely @realDonaldTrump Fake news is your defence? Lol. Seems legit,2017-02-17 11:52:37,6,Rep
@realDonaldTrump oh you pathetic sad little snowflake. That performance sealed your impeachment,2017-02-17 11:52:38,8,Rep
@realDonaldTrump Once you release your taxes we will know how sincere you are about helping working-class Americans.,2017-02-17 11:52:53,8,Rep
@RupertMyers @realDonaldTrump When you come out for air..we'll break the news easy to ya..TRUMP WON!!!  YEAH!!,2017-02-17 11:53:10,8,Rep
@realDonaldTrump You were great yesterday!!!!   I am totally with you!  Don't let the bastards get you down!  MAGA!!!,2017-02-17 11:53:14,7,Rep
"@realDonaldTrump @nytimes Donal Trump stars in ""Titanic."" ""We've got to stop these low life leakers before there's a bigger leak!""",2017-02-17 11:53:20,11,Rep
@realDonaldTrump no they are not but that's OK... Stick to your agenda and ignore them,2017-02-17 11:53:24,5,Rep
"@realDonaldTrump you speak like a grade schooler, you're an embarrassment to America #dumbass",2017-02-17 11:53:26,6,Rep
